

							TABLEAU DE BORD CARREFOUR:



V:Vehicule
DA: Date d'arrivée
DFP:Date de fin de passage
TS:Temps de service
LF:Longueur file


 V           DA            DFP             TS		  V           DA           DFP           TS		 LF1     LF2



 Route1	 		                               Route2	 

 1(R) 	 8h 0m 0s 	  8h 0m 47s  	 0h 0m 47s  	 1(V) 	 8h 0m 0s	  8h 0m 0s  	 0h 0m 0s  	 1 	 0 
 2(R) 	 8h 0m 9s 	  8h 0m 48s  	 0h 0m 38s  	 2(V) 	 8h 0m 1s	  8h 0m 3s  	 0h 0m 1s  	 2 	 0 
 3(R) 	 8h 0m 12s 	  8h 0m 50s  	 0h 0m 37s  	 3(V) 	 8h 0m 3s	  8h 0m 6s  	 0h 0m 3s  	 3 	 0 
 4(R) 	 8h 0m 20s 	  8h 0m 52s  	 0h 0m 31s  	 4(V) 	 8h 0m 18s	  8h 0m 23s  	 0h 0m 5s  	 4 	 0 
 5(R) 	 8h 0m 30s 	  8h 0m 54s  	 0h 0m 23s  	 5(V) 	 8h 0m 27s	  8h 0m 34s  	 0h 0m 7s  	 5 	 0 
 6(R) 	 8h 0m 44s 	  8h 0m 57s  	 0h 0m 13s  	 6(R) 	 8h 0m 48s	  8h 1m 33s  	 0h 0m 44s  	 6 	 0 
 7(V) 	 8h 1m 2s 	  8h 1m 16s  	 0h 0m 14s  	 7(R) 	 8h 0m 53s	  8h 1m 33s  	 0h 0m 39s  	 0 	 1 
 8(V) 	 8h 1m 16s 	  8h 1m 27s  	 0h 0m 10s  	 8(V) 	 8h 1m 33s	  8h 1m 34s  	 0h 0m 1s  	 1 	 1 
 9(R) 	 8h 1m 58s 	  8h 2m 20s  	 0h 0m 21s  	 9(O) 	 8h 2m 13s	  8h 2m 13s  	 0h 0m 0s  	 0 	 0 
 10(V) 	 8h 2m 21s 	  8h 2m 22s  	 0h 0m 0s  	 10(R) 	 8h 2m 33s	  8h 3m 6s  	 0h 0m 32s  	 0 	 0 
 11(V) 	 8h 2m 27s 	  8h 2m 29s  	 0h 0m 1s  	 11(R) 	 8h 2m 33s	  8h 3m 6s  	 0h 0m 32s  	 0 	 1 
 12(V) 	 8h 2m 56s 	  8h 2m 59s  	 0h 0m 3s  	 12(R) 	 8h 2m 34s	  8h 3m 7s  	 0h 0m 33s  	 0 	 2 
 13(R) 	 8h 3m 10s 	  8h 3m 53s  	 0h 0m 42s  	 13(R) 	 8h 2m 48s	  8h 3m 9s  	 0h 0m 20s  	 0 	 3 
 14(R) 	 8h 3m 34s 	  8h 3m 53s  	 0h 0m 19s  	 14(R) 	 8h 2m 59s	  8h 3m 11s  	 0h 0m 11s  	 1 	 4 
 15(R) 	 8h 3m 42s 	  8h 3m 54s  	 0h 0m 12s  	 15(V) 	 8h 3m 9s	  8h 3m 17s  	 0h 0m 7s  	 2 	 1 
 16(R) 	 8h 3m 44s 	  8h 3m 56s  	 0h 0m 11s  	 16(V) 	 8h 3m 12s	  8h 3m 22s  	 0h 0m 10s  	 3 	 1 
 17(R) 	 8h 3m 46s 	  8h 3m 58s  	 0h 0m 11s  	 17(V) 	 8h 3m 25s	  8h 3m 39s  	 0h 0m 14s  	 4 	 0 
 18(V) 	 8h 3m 54s 	  8h 4m 2s  	 0h 0m 7s  	 18(V) 	 8h 3m 44s	  8h 3m 46s  	 0h 0m 1s  	 2 	 0 
 19(V) 	 8h 3m 59s 	  8h 4m 9s  	 0h 0m 10s  	 19(R) 	 8h 4m 29s	  8h 4m 39s  	 0h 0m 9s  	 1 	 0 
 20(V) 	 8h 4m 16s 	  8h 4m 30s  	 0h 0m 14s  	 20(V) 	 8h 4m 43s	  8h 4m 44s  	 0h 0m 0s  	 0 	 0 
 21(V) 	 8h 4m 17s 	  8h 4m 33s  	 0h 0m 15s  	 21(R) 	 8h 5m 28s	  8h 6m 12s  	 0h 0m 43s  	 1 	 0 
 22(V) 	 8h 4m 21s 	  8h 5m 26s  	 0h 1m 4s  	 22(R) 	 8h 5m 30s	  8h 6m 12s  	 0h 0m 42s  	 2 	 1 
 23(V) 	 8h 4m 22s 	  8h 5m 26s  	 0h 1m 3s  	 23(R) 	 8h 5m 36s	  8h 6m 13s  	 0h 0m 36s  	 3 	 2 
 24(V) 	 8h 4m 25s 	  8h 5m 27s  	 0h 1m 2s  	 24(R) 	 8h 5m 38s	  8h 6m 15s  	 0h 0m 36s  	 4 	 3 
 25(O) 	 8h 4m 36s 	  8h 5m 29s  	 0h 0m 52s  	 25(R) 	 8h 5m 39s	  8h 6m 17s  	 0h 0m 37s  	 3 	 4 
 26(R) 	 8h 4m 53s 	  8h 5m 31s  	 0h 0m 37s  	 26(R) 	 8h 5m 49s	  8h 6m 19s  	 0h 0m 30s  	 4 	 5 
 27(R) 	 8h 4m 54s 	  8h 5m 33s  	 0h 0m 39s  	 27(R) 	 8h 5m 55s	  8h 6m 22s  	 0h 0m 26s  	 5 	 6 
 28(V) 	 8h 5m 31s 	  8h 5m 41s  	 0h 0m 10s  	 28(O) 	 8h 6m 56s	  8h 6m 56s  	 0h 0m 0s  	 1 	 0 
